Clique number;Diameter;Edge connectivity;Matching number;Planar ;Radius;Vertex connectivity;Largest L-eigenvalue ;Second largest Eigenvalue;Smallest Eigenvalue;Laplacian spectrum;Chromatic Number;Girth;Group Size;Domination number;Independence number;Chromatic index
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.72900000;2.45000000;-2.72900000;0.55000000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.72700000;2.45100000;-2.72700000;0.54900000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.73200000;2.45100000;-2.73200000;0.54900000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.70100000;2.45300000;-2.70100000;0.54700000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.70100000;2.45300000;-2.70100000;0.54700000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.67000000;2.45000000;-2.67000000;0.55000000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.67000000;2.45000000;-2.67000000;0.55000000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;6.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.75700000;2.45300000;-2.75700000;0.54700000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.72900000;2.45000000;-2.72900000;0.55000000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.73400000;2.45000000;-2.73400000;0.55000000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.72800000;2.45100000;-2.72800000;0.54900000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.72600000;2.45100000;-2.72600000;0.54900000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.73900000;2.43900000;-2.73900000;0.56100000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.76000000;2.43500000;-2.76000000;0.56500000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.74600000;2.45600000;-2.74600000;0.54400000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;6.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.76300000;2.45100000;-2.76300000;0.54900000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;6.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.76300000;2.45100000;-2.76300000;0.54900000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.74000000;2.43900000;-2.74000000;0.56100000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.80000000;2.43800000;-2.80000000;0.56200000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.79900000;2.43500000;-2.79900000;0.56500000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.72300000;2.45300000;-2.72300000;0.54700000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.71800000;2.45200000;-2.71800000;0.54800000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.71900000;2.45100000;-2.71900000;0.54900000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.71600000;2.45200000;-2.71600000;0.54900000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.74000000;2.43800000;-2.74000000;0.51900000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
