Clique number;Diameter;Edge connectivity;Matching number;Planar ;Radius;Vertex connectivity;Largest L-eigenvalue ;Second largest Eigenvalue;Smallest Eigenvalue;Laplacian spectrum;Chromatic Number;Girth;Group Size;Domination number;Independence number;Chromatic Index
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;4.0000000;3.0000000;5.7483100;2.7280100;-2.7483100;0.2719900;3.0000000;4.0000000;1.0000000;9.0000000;14.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;4.0000000;3.0000000;5.7374100;2.7275100;-2.7374100;0.2724900;3.0000000;5.0000000;1.0000000;9.0000000;14.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;4.0000000;3.0000000;5.6993300;2.7058900;-2.6993300;0.2941100;3.0000000;4.0000000;1.0000000;9.0000000;14.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;4.0000000;3.0000000;5.6599700;2.7058700;-2.6599700;0.2941300;3.0000000;4.0000000;1.0000000;9.0000000;14.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;5.0000000;3.0000000;5.6987100;2.7138000;-2.6987100;0.2862000;3.0000000;4.0000000;1.0000000;9.0000000;14.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;4.0000000;3.0000000;5.6674300;2.7313500;-2.6674300;0.2686500;3.0000000;4.0000000;1.0000000;9.0000000;14.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;4.0000000;3.0000000;5.6411200;2.7266100;-2.6411200;0.2733900;3.0000000;5.0000000;1.0000000;9.0000000;14.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;4.0000000;3.0000000;5.6385500;2.7266000;-2.6385500;0.2734000;3.0000000;5.0000000;1.0000000;9.0000000;14.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;5.0000000;3.0000000;5.7008000;2.7245100;-2.7008000;0.2754900;3.0000000;4.0000000;1.0000000;9.0000000;14.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;5.0000000;3.0000000;5.7146900;2.7237900;-2.7146900;0.2762100;3.0000000;4.0000000;1.0000000;9.0000000;14.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;5.0000000;3.0000000;5.6834700;2.7235700;-2.6834700;0.2764300;3.0000000;5.0000000;1.0000000;9.0000000;14.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;5.0000000;3.0000000;5.7054500;2.7236120;-2.7054500;0.2738800;3.0000000;4.0000000;1.0000000;9.0000000;14.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;4.0000000;3.0000000;5.6425700;2.7297600;-2.6425700;0.2702400;3.0000000;5.0000000;1.0000000;9.0000000;14.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;4.0000000;3.0000000;5.6773700;2.7295400;-2.6773700;0.2704600;3.0000000;4.0000000;1.0000000;9.0000000;14.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;4.0000000;3.0000000;5.6958600;2.7277700;-2.6958600;0.2722300;3.0000000;4.0000000;1.0000000;9.0000000;14.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;4.0000000;3.0000000;5.6572800;2.7295500;-2.6572800;0.2704500;3.0000000;4.0000000;1.0000000;9.0000000;14.0000000;4.0000000
